artist,title,spotifyID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Eslabon Armado X Peso Pluma,Ella Baila Sola,nan,,,,,,,,,,,,,,,,,,
Fifty Fifty,Cupid,7FbrGaHYVDmfr7KoLIZnQ7,0.783,0.592,11.0,-8.332,0.0,0.0331,0.435,4.15e-06,0.347,0.726,120.018,audio_features,7FbrGaHYVDmfr7KoLIZnQ7,spotify:track:7FbrGaHYVDmfr7KoLIZnQ7,https://api.spotify.com/v1/tracks/7FbrGaHYVDmfr7KoLIZnQ7,https://api.spotify.com/v1/audio-analysis/7FbrGaHYVDmfr7KoLIZnQ7,174253.0,4.0
Yng Lvcas x Peso Pluma,La Bebe,nan,,,,,,,,,,,,,,,,,,
Grupo Frontera X Bad Bunny,Un x100to,6pD0ufEQq0xdHSsRbg9LBK,0.569,0.724,6.0,-4.076,0.0,0.0474,0.228,0.0,0.27,0.562,83.118,audio_features,6pD0ufEQq0xdHSsRbg9LBK,spotify:track:6pD0ufEQq0xdHSsRbg9LBK,https://api.spotify.com/v1/tracks/6pD0ufEQq0xdHSsRbg9LBK,https://api.spotify.com/v1/audio-analysis/6pD0ufEQq0xdHSsRbg9LBK,194563.0,4.0
Miley Cyrus,Flowers,0yLdNVWF3Srea0uzk55zFn,0.707,0.681,0.0,-4.325,1.0,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,audio_features,0yLdNVWF3Srea0uzk55zFn,spotify:track:0yLdNVWF3Srea0uzk55zFn,https://api.spotify.com/v1/tracks/0yLdNVWF3Srea0uzk55zFn,https://api.spotify.com/v1/audio-analysis/0yLdNVWF3Srea0uzk55zFn,200455.0,4.0
Rema & Selena Gomez,Calm Down,1s7oOCT8vauUh01PbJD6ps,0.799,0.802,11.0,-5.196,1.0,0.0371,0.429,0.00128,0.171,0.811,107.008,audio_features,1s7oOCT8vauUh01PbJD6ps,spotify:track:1s7oOCT8vauUh01PbJD6ps,https://api.spotify.com/v1/tracks/1s7oOCT8vauUh01PbJD6ps,https://api.spotify.com/v1/audio-analysis/1s7oOCT8vauUh01PbJD6ps,239318.0,4.0
Lil Durk Featuring J. Cole,All My Life,nan,,,,,,,,,,,,,,,,,,
The Weeknd & Ariana Grande,Die For You,nan,,,,,,,,,,,,,,,,,,
YOASOBI,Idol,nan,,,,,,,,,,,,,,,,,,
Morgan Wallen,Last Night,59uQI0PADDKeE6UZDTJEe8,0.517,0.675,6.0,-5.382,1.0,0.0357,0.459,0.0,0.151,0.518,203.853,audio_features,59uQI0PADDKeE6UZDTJEe8,spotify:track:59uQI0PADDKeE6UZDTJEe8,https://api.spotify.com/v1/tracks/59uQI0PADDKeE6UZDTJEe8,https://api.spotify.com/v1/audio-analysis/59uQI0PADDKeE6UZDTJEe8,163855.0,4.0
