artist,title,spotifyID
Eslabon Armado X Peso Pluma,Ella Baila Sola,
Fifty Fifty,Cupid,7FbrGaHYVDmfr7KoLIZnQ7
Yng Lvcas x Peso Pluma,La Bebe,
Grupo Frontera X Bad Bunny,Un x100to,6pD0ufEQq0xdHSsRbg9LBK
Miley Cyrus,Flowers,0yLdNVWF3Srea0uzk55zFn
Rema & Selena Gomez,Calm Down,1s7oOCT8vauUh01PbJD6ps
Lil Durk Featuring J. Cole,All My Life,
The Weeknd & Ariana Grande,Die For You,
YOASOBI,Idol,
Morgan Wallen,Last Night,59uQI0PADDKeE6UZDTJEe8
SZA,Kill Bill,1Qrg8KqiBpW07V7PNxwwwL
David Kushner,Daylight,1odExI7RdWc4BT515LTAwj
Shakira,Acrostico,7txjUEY6McJDJKqIo1Rxjp
Harry Styles,As It Was,4LRPiXqCikLlN15c3yImP7
Loreen,Tattoo,1DmW5Ep6ywYwxc2HMT5BG6
Karol G x Shakira,TQG,
Taylor Swift,Anti-Hero,0V3wPSX9ygBnCm8psDIegu
Feid x Young Miko,Classy 101,
"Metro Boomin, The Weeknd & 21 Savage",Creepin',2dHHgzDwk4BJdRwy9uXhTO
Libianca,People,26b3oVLrRUaaybJulow9kz
David Guetta & Bebe Rexha,I'm Good (Blue),0OKYQvhHNGVhaMafZlEDGQ
Peso Pluma,Por Las Noches,2VzCjpKvPB1l1tqLndtAQa
PinkPantheress & Ice Spice,"Boy's A Liar, Pt. 2",
Stephen Sanchez,Until I Found You,1Y3LN4zO1Edc2EluIoSPJN
Peso Pluma X Natanael Cano,PRC,
Junior H x Peso Pluma,El Azul,
Kaarija,Cha Cha Cha,5RX8T3EoTuXcybAxe6oPAw
JVKE,Golden Hour,5odlY52u43F5BjByhxg7wg
OneRepublic,I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB
Luke Combs,Fast Car,1Lo0QY9cvc8sUB2vnIOxDT
Rosalia & Rauw Alejandro,Beso,
Ed Sheeran,Eyes Closed,07bsRv0pcpbG4zJeLsUs1p
Yandel & Feid,Yandel 150,
The Weeknd & Ariana Grande,Save Your Tears,
Sam Smith & Kim Petras,Unholy,3bXRd0yVb5sw2WVblM5URR
LE SSERAFIM Featuring Nile Rodgers,Unforgiven,
"Tyler, The Creator Featuring Kali Uchis",See You Again,
"Gabito Ballesteros, Peso Pluma & Natanael Cano",AMG,
Jimin,Like Crazy,3Ua0m0YmEjrMi9XErKcNiR
Tom Odell,Another Love,3JvKfv6T31zO0ini8iNItO
Yahritza y Su Esencia x Grupo Frontera,Fragil,
Drake,Search & Rescue,7aRCf5cLOFN1U7kvtChY1G
